,time,Av. Dens.,St. Dens.,RMS Vel.,RMS Mach
0,0.000000e+00,1.660000e-24,0.000000e+00,0.000000e+00,0.000000e+00
1,5.614773e+10,1.660000e-24,8.829004e-27,1.486755e+05,1.486755e-01
2,1.202633e+11,1.660000e-24,3.356346e-26,2.972095e+05,2.972095e-01
3,1.842277e+11,1.660000e-24,7.116430e-26,4.165647e+05,4.165647e-01
4,2.420847e+11,1.660000e-24,1.226100e-25,5.006722e+05,5.006722e-01
5,3.046923e+11,1.660000e-24,2.112033e-25,5.725925e+05,5.725925e-01
6,3.697050e+11,1.660000e-24,3.617357e-25,6.502941e+05,6.502941e-01
7,4.316802e+11,1.660000e-24,5.730493e-25,7.338492e+05,7.338492e-01
8,4.934718e+11,1.660000e-24,8.206871e-25,8.156217e+05,8.156217e-01
9,5.549143e+11,1.660000e-24,1.064064e-24,8.922831e+05,8.922831e-01
10,6.158295e+11,1.660000e-24,1.290801e-24,9.613306e+05,9.613306e-01
11,6.780439e+11,1.660000e-24,1.491778e-24,1.019304e+06,1.019304e+00
12,7.397478e+11,1.660000e-24,1.664797e-24,1.068135e+06,1.068135e+00
13,8.020782e+11,1.660000e-24,1.781127e-24,1.111799e+06,1.111799e+00
14,8.639013e+11,1.660000e-24,1.872034e-24,1.151645e+06,1.151645e+00
15,9.252177e+11,1.660000e-24,1.939791e-24,1.186582e+06,1.186582e+00
16,9.867309e+11,1.660000e-24,1.997473e-24,1.214316e+06,1.214316e+00
17,1.048926e+12,1.660000e-24,2.039485e-24,1.232153e+06,1.232153e+00
18,1.110609e+12,1.660000e-24,2.092999e-24,1.252859e+06,1.252859e+00
19,1.172255e+12,1.660000e-24,2.160752e-24,1.273126e+06,1.273126e+00
20,1.234028e+12,1.660000e-24,2.243760e-24,1.294075e+06,1.294075e+00
21,1.295621e+12,1.660000e-24,2.286362e-24,1.308147e+06,1.308147e+00
22,1.357018e+12,1.660000e-24,2.316066e-24,1.320996e+06,1.320996e+00
23,1.418760e+12,1.660000e-24,2.341715e-24,1.334046e+06,1.334046e+00
24,1.480732e+12,1.660000e-24,2.346410e-24,1.352797e+06,1.352797e+00
25,1.542949e+12,1.660000e-24,2.298796e-24,1.380885e+06,1.380885e+00
26,1.604445e+12,1.660000e-24,2.284359e-24,1.401553e+06,1.401553e+00
27,1.665634e+12,1.660000e-24,2.317249e-24,1.416016e+06,1.416016e+00
28,1.727742e+12,1.660000e-24,2.378194e-24,1.431547e+06,1.431547e+00
29,1.789724e+12,1.660000e-24,2.420838e-24,1.445039e+06,1.445039e+00
30,1.851284e+12,1.660000e-24,2.451112e-24,1.454470e+06,1.454470e+00
31,1.913224e+12,1.660000e-24,2.459446e-24,1.457282e+06,1.457282e+00
32,1.974957e+12,1.660000e-24,2.455353e-24,1.451754e+06,1.451754e+00
33,2.036104e+12,1.660000e-24,2.456901e-24,1.445079e+06,1.445079e+00
34,2.097994e+12,1.660000e-24,2.458683e-24,1.438749e+06,1.438749e+00
35,2.159941e+12,1.660000e-24,2.478249e-24,1.436879e+06,1.436879e+00
36,2.221242e+12,1.660000e-24,2.499502e-24,1.436717e+06,1.436717e+00
37,2.283319e+12,1.660000e-24,2.495327e-24,1.435096e+06,1.435096e+00
38,2.344975e+12,1.660000e-24,2.496981e-24,1.438804e+06,1.438804e+00
39,2.407008e+12,1.660000e-24,2.545042e-24,1.450694e+06,1.450694e+00
40,2.468156e+12,1.660000e-24,2.565904e-24,1.457247e+06,1.457247e+00
