Velocity,Intensity
-3.25e+02,1.00e-02
-3.24e+02,-3.75e-02
-3.23e+02,-2.00e-02
-3.22e+02,3.25e-02
-3.21e+02,-4.25e-02
-3.20e+02,3.00e-02
-3.20e+02,0.00e+00
-3.19e+02,-2.49e-03
-3.18e+02,3.00e-02
-3.17e+02,1.17e-01
-3.16e+02,4.25e-02
-3.15e+02,-1.25e-02
-3.15e+02,-1.00e-02
-3.14e+02,5.50e-02
-3.13e+02,1.50e-02
-3.12e+02,-6.25e-02
-3.11e+02,5.50e-02
-3.11e+02,-8.50e-02
-3.10e+02,2.50e-03
-3.09e+02,-7.50e-03
-3.08e+02,-7.50e-03
-3.07e+02,-2.75e-02
-3.06e+02,-3.50e-02
-3.06e+02,-5.50e-02
-3.05e+02,-3.00e-02
-3.04e+02,1.00e-02
-3.03e+02,3.00e-02
-3.02e+02,-7.50e-03
-3.01e+02,-6.25e-02
-3.01e+02,-1.00e-02
-3.00e+02,-6.75e-02
-2.99e+02,1.50e-02
-2.98e+02,-5.00e-03
-2.97e+02,-3.25e-02
-2.97e+02,-3.00e-02
-2.96e+02,5.00e-03
-2.95e+02,5.50e-02
-2.94e+02,-5.00e-03
-2.93e+02,-6.50e-02
-2.92e+02,0.00e+00
-2.92e+02,-7.50e-03
-2.91e+02,-5.00e-03
-2.90e+02,-2.50e-02
-2.89e+02,-3.25e-02
-2.88e+02,7.50e-03
-2.87e+02,-1.25e-02
-2.87e+02,6.75e-02
-2.86e+02,-2.25e-02
-2.85e+02,4.50e-02
-2.84e+02,2.50e-03
-2.83e+02,5.00e-03
-2.83e+02,-1.50e-02
-2.82e+02,-5.75e-02
-2.81e+02,6.25e-02
-2.80e+02,0.00e+00
-2.79e+02,6.50e-02
-2.78e+02,-2.50e-02
-2.78e+02,5.00e-03
-2.77e+02,-3.25e-02
-2.76e+02,1.00e-02
-2.75e+02,-5.50e-02
-2.74e+02,2.00e-02
-2.73e+02,-3.50e-02
-2.73e+02,3.75e-02
-2.72e+02,1.25e-02
-2.71e+02,-4.50e-02
-2.70e+02,6.50e-02
-2.69e+02,6.75e-02
-2.69e+02,-3.25e-02
-2.68e+02,-7.25e-02
-2.67e+02,3.25e-02
-2.66e+02,-3.25e-02
-2.65e+02,-2.00e-02
-2.64e+02,-9.25e-02
-2.64e+02,-2.49e-03
-2.63e+02,2.75e-02
-2.62e+02,-7.75e-02
-2.61e+02,2.00e-02
-2.60e+02,0.00e+00
-2.59e+02,3.75e-02
-2.59e+02,-3.25e-02
-2.58e+02,-5.00e-03
-2.57e+02,-7.50e-03
-2.56e+02,1.00e-02
-2.55e+02,4.00e-02
-2.55e+02,7.75e-02
-2.54e+02,7.50e-03
-2.53e+02,2.50e-02
-2.52e+02,-2.50e-02
-2.51e+02,5.00e-03
-2.50e+02,-5.00e-03
-2.50e+02,-7.75e-02
-2.49e+02,-1.75e-02
-2.48e+02,3.75e-02
-2.47e+02,3.00e-02
-2.46e+02,7.75e-02
-2.46e+02,-8.00e-02
-2.45e+02,4.00e-02
-2.44e+02,-5.00e-02
-2.43e+02,-1.75e-02
-2.42e+02,-2.00e-02
-2.41e+02,6.00e-02
-2.41e+02,2.50e-02
-2.40e+02,-6.50e-02
-2.39e+02,-1.17e-01
-2.38e+02,-5.00e-02
-2.37e+02,-7.00e-02
-2.36e+02,2.50e-02
-2.36e+02,2.00e-02
-2.35e+02,-2.00e-02
-2.34e+02,1.25e-02
-2.33e+02,2.75e-02
-2.32e+02,-3.00e-02
-2.32e+02,2.00e-02
-2.31e+02,2.50e-03
-2.30e+02,1.75e-02
-2.29e+02,6.50e-02
-2.28e+02,-3.50e-02
-2.27e+02,-1.50e-02
-2.27e+02,7.00e-02
-2.26e+02,2.50e-03
-2.25e+02,-4.50e-02
-2.24e+02,9.00e-02
-2.23e+02,-2.75e-02
-2.22e+02,3.75e-02
-2.22e+02,-2.50e-02
-2.21e+02,4.75e-02
-2.20e+02,-1.00e-02
-2.19e+02,2.50e-03
-2.18e+02,7.00e-02
-2.18e+02,1.75e-02
-2.17e+02,-6.50e-02
-2.16e+02,-3.50e-02
-2.15e+02,-1.75e-02
-2.14e+02,3.50e-02
-2.13e+02,4.00e-02
-2.13e+02,7.50e-03
-2.12e+02,-8.00e-02
-2.11e+02,4.50e-02
-2.10e+02,1.07e-01
-2.09e+02,3.00e-02
-2.08e+02,1.00e-01
-2.08e+02,2.75e-02
-2.07e+02,2.50e-02
-2.06e+02,-5.25e-02
-2.05e+02,-4.75e-02
-2.04e+02,-3.75e-02
-2.04e+02,-4.50e-02
-2.03e+02,7.00e-02
-2.02e+02,4.75e-02
-2.01e+02,3.50e-02
-2.00e+02,-4.75e-02
-1.99e+02,4.50e-02
-1.99e+02,2.75e-02
-1.98e+02,7.50e-03
-1.97e+02,3.25e-02
-1.96e+02,1.75e-02
-1.95e+02,-7.50e-03
-1.94e+02,-4.50e-02
-1.94e+02,3.25e-02
-1.93e+02,-3.00e-02
-1.92e+02,-1.50e-02
-1.91e+02,-3.75e-02
-1.90e+02,1.75e-02
-1.90e+02,1.00e-02
-1.89e+02,4.50e-02
-1.88e+02,-7.50e-02
-1.87e+02,-1.25e-02
-1.86e+02,-8.25e-02
-1.85e+02,4.75e-02
-1.85e+02,6.50e-02
-1.84e+02,1.00e-02
-1.83e+02,-1.00e-02
-1.82e+02,-4.00e-02
-1.81e+02,1.75e-02
-1.80e+02,1.75e-02
-1.80e+02,-7.50e-03
-1.79e+02,-1.25e-02
-1.78e+02,2.50e-03
-1.77e+02,6.25e-02
-1.76e+02,2.75e-02
-1.76e+02,-5.00e-03
-1.75e+02,2.50e-02
-1.74e+02,7.50e-03
-1.73e+02,8.00e-02
-1.72e+02,-2.50e-02
-1.71e+02,-2.49e-03
-1.71e+02,7.50e-03
-1.70e+02,5.50e-02
-1.69e+02,-1.75e-02
-1.68e+02,-5.25e-02
-1.67e+02,-2.75e-02
-1.66e+02,3.00e-02
-1.66e+02,5.00e-02
-1.65e+02,5.50e-02
-1.64e+02,1.25e-02
-1.63e+02,8.25e-02
-1.62e+02,1.50e-02
-1.62e+02,5.75e-02
-1.61e+02,5.00e-03
-1.60e+02,-1.25e-02
-1.59e+02,2.75e-02
-1.58e+02,1.00e-02
-1.57e+02,1.50e-02
-1.57e+02,1.50e-02
-1.56e+02,0.00e+00
-1.55e+02,5.25e-02
-1.54e+02,3.50e-02
-1.53e+02,1.50e-02
-1.52e+02,1.25e-01
-1.52e+02,-2.25e-02
-1.51e+02,1.50e-02
-1.50e+02,-1.03e-01
-1.49e+02,-1.33e-01
-1.48e+02,-7.50e-03
-1.48e+02,-5.00e-02
-1.47e+02,-5.50e-02
-1.46e+02,-2.49e-03
-1.45e+02,-1.25e-02
-1.44e+02,1.00e-02
-1.43e+02,-6.25e-02
-1.43e+02,2.00e-02
-1.42e+02,-2.49e-03
-1.41e+02,4.75e-02
-1.40e+02,-4.00e-02
-1.39e+02,1.75e-02
-1.38e+02,2.00e-02
-1.38e+02,2.50e-02
-1.37e+02,-2.25e-02
-1.36e+02,-1.25e-02
-1.35e+02,-2.49e-03
-1.34e+02,5.25e-02
-1.34e+02,1.50e-02
-1.33e+02,9.25e-02
-1.32e+02,-1.50e-02
-1.31e+02,-7.75e-02
-1.30e+02,2.00e-02
-1.29e+02,2.50e-03
-1.29e+02,2.25e-02
-1.28e+02,7.00e-02
-1.27e+02,7.00e-02
-1.26e+02,-2.75e-02
-1.25e+02,-2.25e-02
-1.24e+02,-2.25e-02
-1.24e+02,7.00e-02
-1.23e+02,-5.25e-02
-1.22e+02,0.00e+00
-1.21e+02,2.50e-02
-1.20e+02,-6.00e-02
-1.20e+02,3.00e-02
-1.19e+02,-6.50e-02
-1.18e+02,4.00e-02
-1.17e+02,-2.49e-03
-1.16e+02,2.50e-03
-1.15e+02,-4.75e-02
-1.15e+02,1.00e-02
-1.14e+02,-2.75e-02
-1.13e+02,-3.75e-02
-1.12e+02,5.50e-02
-1.11e+02,1.25e-02
-1.10e+02,-1.25e-02
-1.10e+02,-3.50e-02
-1.09e+02,5.75e-02
-1.08e+02,5.50e-02
-1.07e+02,-3.25e-02
-1.06e+02,-1.07e-01
-1.05e+02,-4.00e-02
-1.05e+02,-5.00e-02
-1.04e+02,-4.25e-02
-1.03e+02,-5.25e-02
-1.02e+02,-5.00e-03
-1.01e+02,-6.25e-02
-1.01e+02,-3.00e-02
-9.97e+01,4.75e-02
-9.89e+01,-1.25e-02
-9.81e+01,-1.50e-02
-9.73e+01,-4.50e-02
-9.64e+01,1.25e-02
-9.56e+01,2.75e-02
-9.48e+01,-2.49e-03
-9.40e+01,5.00e-03
-9.31e+01,3.50e-02
-9.23e+01,5.00e-02
-9.15e+01,7.50e-02
-9.07e+01,-1.75e-02
-8.98e+01,-1.50e-02
-8.90e+01,-3.75e-02
-8.82e+01,-3.25e-02
-8.74e+01,7.50e-03
-8.65e+01,2.00e-02
-8.57e+01,-1.50e-02
-8.49e+01,-1.50e-02
-8.41e+01,-9.50e-02
-8.33e+01,-2.50e-02
-8.24e+01,1.75e-02
-8.16e+01,-2.25e-02
-8.08e+01,3.75e-02
-8.00e+01,-2.25e-02
-7.91e+01,6.00e-02
-7.83e+01,-4.25e-02
-7.75e+01,-1.50e-02
-7.67e+01,-2.25e-02
-7.58e+01,-4.50e-02
-7.50e+01,3.50e-02
-7.42e+01,-2.50e-02
-7.34e+01,1.50e-02
-7.25e+01,8.25e-02
-7.17e+01,5.50e-02
-7.09e+01,5.75e-02
-7.01e+01,1.17e-01
-6.92e+01,-2.75e-02
-6.84e+01,-2.00e-02
-6.76e+01,-9.25e-02
-6.68e+01,-5.00e-03
-6.59e+01,1.50e-02
-6.51e+01,-2.49e-03
-6.43e+01,2.50e-03
-6.35e+01,-6.50e-02
-6.26e+01,-3.75e-02
-6.18e+01,-2.25e-02
-6.10e+01,-5.00e-02
-6.02e+01,1.75e-02
-5.94e+01,2.25e-02
-5.85e+01,3.25e-02
-5.77e+01,6.75e-02
-5.69e+01,7.00e-02
-5.61e+01,-5.00e-03
-5.52e+01,2.00e-02
-5.44e+01,3.50e-02
-5.36e+01,6.00e-02
-5.28e+01,8.00e-02
-5.19e+01,1.50e-01
-5.11e+01,1.50e-01
-5.03e+01,1.77e-01
-4.95e+01,1.93e-01
-4.86e+01,2.17e-01
-4.78e+01,2.42e-01
-4.70e+01,4.08e-01
-4.62e+01,4.82e-01
-4.53e+01,6.77e-01
-4.45e+01,8.63e-01
-4.37e+01,1.13e+00
-4.29e+01,1.46e+00
-4.20e+01,2.02e+00
-4.12e+01,2.97e+00
-4.04e+01,3.92e+00
-3.96e+01,4.08e+00
-3.87e+01,3.63e+00
-3.79e+01,3.08e+00
-3.71e+01,2.74e+00
-3.63e+01,2.28e+00
-3.54e+01,2.05e+00
-3.46e+01,1.70e+00
-3.38e+01,1.56e+00
-3.30e+01,1.43e+00
-3.22e+01,1.41e+00
-3.13e+01,1.36e+00
-3.05e+01,1.45e+00
-2.97e+01,1.39e+00
-2.89e+01,1.55e+00
-2.80e+01,1.65e+00
-2.72e+01,1.68e+00
-2.64e+01,1.77e+00
-2.56e+01,1.90e+00
-2.47e+01,2.04e+00
-2.39e+01,2.15e+00
-2.31e+01,2.45e+00
-2.23e+01,2.55e+00
-2.14e+01,2.69e+00
-2.06e+01,2.91e+00
-1.98e+01,3.04e+00
-1.90e+01,3.31e+00
-1.81e+01,3.49e+00
-1.73e+01,3.85e+00
-1.65e+01,4.21e+00
-1.57e+01,4.45e+00
-1.48e+01,4.80e+00
-1.40e+01,5.09e+00
