	velocity	Tb
0	-494.4240112305	-0.0049972534
1	-490.500011205704	0.010002136
2	-486.57601118090804	0.017501831
3	-482.652011156112	0.027503967
4	-478.728011131316	-0.01499939
5	-474.80401110652	0.017501831
6	-470.88001108172404	-0.0049972534
7	-466.95601105692805	-0.04499817
8	-463.032011032132	0.03250122
9	-459.108011007336	0.022499084
10	-455.18401098254003	-0.025001526
11	-451.26001095774404	-0.025001526
12	-447.336010932948	-0.022499084
13	-443.41201090815196	-0.025001526
14	-439.48801088335597	0.022499084
15	-435.56401085856	0.04499817
16	-431.640010833764	0.007499695
17	-427.716010808968	-0.01499939
18	-423.79201078417196	-0.02999878
19	-419.868010759376	0.017501831
20	-415.94401073458	0.0
21	-412.020010709784	0.020004272
22	-408.096010684988	0.0025024414
23	-404.172010660192	-0.007499695
24	-400.248010635396	-0.010002136
25	-396.3240106106	0.027503967
26	-392.400010585804	-0.002494812
27	-388.476010561008	-0.017501831
28	-384.552010536212	0.017501831
29	-380.628010511416	0.027503967
30	-376.70401048662	-0.012496948
31	-372.780010461824	-0.007499695
32	-368.85601043702803	0.017501831
33	-364.93201041223205	0.022499084
34	-361.008010387436	0.007499695
35	-357.08401036264	0.052497864
36	-353.160010337844	-0.017501831
37	-349.23601031304804	-0.022499084
38	-345.31201028825205	-0.02999878
39	-341.388010263456	0.0025024414
40	-337.46401023866	0.027503967
41	-333.54001021386404	-0.025001526
42	-329.61601018906805	-0.040000916
43	-325.69201016427206	-0.017501831
44	-321.768010139476	-0.02999878
45	-317.84401011468	-0.019996643
46	-313.920010089884	-0.022499084
47	-309.996010065088	0.055000305
48	-306.072010040292	0.02999878
49	-302.14801001549597	0.022499084
50	-298.2240099907	0.007499695
51	-294.300009965904	-0.025001526
52	-290.376009941108	0.025001526
53	-286.452009916312	0.037498474
54	-282.528009891516	0.060005188
55	-278.60400986672	-0.03250122
56	-274.680009841924	0.022499084
57	-270.756009817128	-0.027496338
58	-266.832009792332	0.005004883
59	-262.90800976753593	-0.027496338
60	-258.98400974274	0.005004883
61	-255.06000971794398	0.022499084
62	-251.136009693148	-0.052497864
63	-247.21200966835198	0.01499939
64	-243.288009643556	-0.002494812
65	-239.36400961876	0.027503967
66	-235.440009593964	0.007499695
67	-231.51600956916798	0.020004272
68	-227.592009544372	-0.019996643
69	-223.66800951957597	-0.002494812
70	-219.74400949478	-0.002494812
71	-215.82000946998397	-0.017501831
72	-211.89600944518799	0.0025024414
73	-207.972009420392	-0.01499939
74	-204.04800939559598	0.017501831
75	-200.1240093708	-0.010002136
76	-196.20000934600398	0.007499695
77	-192.276009321208	-0.012496948
78	-188.352009296412	0.037498474
79	-184.428009271616	0.0
80	-180.50400924682	0.005004883
81	-176.58000922202402	0.012504578
82	-172.656009197228	-0.04499817
83	-168.73200917243202	-0.03250122
84	-164.808009147636	0.027503967
85	-160.88400912284	0.022499084
86	-156.96000909804403	0.025001526
87	-153.036009073248	0.012504578
88	-149.11200904845202	0.040000916
89	-145.188009023656	-0.007499695
90	-141.26400899885996	-0.012496948
91	-137.34000897406398	-0.012496948
92	-133.41600894926796	-0.022499084
93	-129.49200892447197	0.03250122
94	-125.56800889967597	0.0025024414
95	-121.64400887487997	-0.027496338
96	-117.72000885008397	0.0
97	-113.79600882528798	0.017501831
98	-109.87200880049198	-0.07749939
99	-105.94800877569598	0.020004272
100	-102.02400875089998	0.0
101	-98.100008726104	0.03250122
102	-94.17600870130799	-0.040000916
103	-90.25200867651199	0.0025024414
104	-86.32800865171599	0.02999878
105	-82.40400862692	-0.007499695
106	-78.480008602124	0.012504578
107	-74.556008577328	0.010002136
108	-70.632008552532	0.02999878
109	-66.708008527736	0.05000305
110	-62.784008502940004	0.0
111	-58.86000847814401	0.01499939
112	-54.93600845334801	0.052497864
113	-51.012008428552015	0.035003662
114	-47.088008403756014	0.09000397
115	-43.16400837896002	0.16999817
116	-39.24000835416396	0.23249817
117	-35.31600832936796	0.54499817
118	-31.392008304571966	1.0200043
119	-27.46800827977597	2.2825012
120	-23.54400825497997	4.0975037
121	-19.620008230183974	4.9725037
122	-15.696008205387974	4.7300034
123	-11.772008180591977	5.8325043
124	-7.848008155795978	14.022503
125	-3.9240081309999804	18.677502
126	-8.10620398260653e-06	7.607502
127	3.9239919185920153	2.8424988
128	7.847991943388013	1.2850037
129	11.771991968184011	0.7000046
130	15.695991992980009	0.47499847
131	19.619992017776006	0.40499878
132	23.543992042572004	0.2649994
133	27.467992067368	0.21500397
134	31.39199209216406	0.18250275
135	35.315992116960054	0.14500427
136	39.239992141756055	0.16750336
137	43.16399216655205	0.10500336
138	47.08799219134805	0.102500916
139	51.01199221614405	0.042503357
140	54.935992240940045	0.01499939
141	58.85999226573605	0.069999695
142	62.78399229053204	0.060005188
143	66.70799231532804	0.020004272
144	70.63199234012404	0.025001526
145	74.55599236492003	0.035003662
146	78.47999238971603	0.04750061
147	82.40399241451203	0.060005188
148	86.32799243930803	0.037498474
149	90.25199246410402	0.012504578
150	94.17599248890002	0.017501831
151	98.09999251369602	0.072502136
152	102.02399253849202	0.05000305
153	105.94799256328803	-0.037498474
154	109.87199258808401	-0.06499481
155	113.79599261288001	0.025001526
156	117.71999263767601	-0.002494812
157	121.64399266247202	-0.052497864
158	125.567992687268	0.012504578
159	129.49199271206402	-0.03250122
160	133.41599273686	0.0025024414
161	137.339992761656	-0.007499695
162	141.263992786452	0.020004272
163	145.187992811248	-0.010002136
164	149.11199283604398	-0.037498474
165	153.03599286084	0.020004272
166	156.95999288563598	-0.007499695
167	160.883992910432	0.05000305
168	164.807992935228	0.022499084
169	168.73199296002397	0.0025024414
170	172.65599298482	-0.0049972534
171	176.57999300961598	-0.0049972534
172	180.503993034412	0.03250122
173	184.42799305920798	-0.04499817
174	188.35199308400396	-0.027496338
175	192.27599310879998	-0.012496948
176	196.19999313359597	-0.02999878
177	200.12399315839195	-0.002494812
178	204.04799318318797	0.0025024414
179	207.97199320798396	-0.01499939
180	211.89599323278009	0.035003662
181	215.81999325757607	0.055000305
182	219.74399328237206	-0.019996643
183	223.66799330716808	-0.025001526
184	227.59199333196406	0.0025024414
185	231.51599335676008	0.022499084
186	235.43999338155606	0.035003662
187	239.36399340635205	0.012504578
188	243.28799343114807	-0.017501831
189	247.21199345594405	0.027503967
190	251.13599348074007	0.010002136
191	255.05999350553606	0.02999878
192	258.98399353033204	0.025001526
193	262.90799355512803	-0.022499084
194	266.8319935799241	0.022499084
195	270.75599360472006	0.022499084
196	274.67999362951605	0.0
197	278.60399365431203	-0.017501831
198	282.527993679108	-0.007499695
199	286.45199370390407	0.01499939
200	290.37599372870005	0.035003662
201	294.29999375349604	0.007499695
202	298.223993778292	0.020004272
203	302.147993803088	-0.05999756
204	306.071993827884	0.005004883
205	309.99599385268004	0.012504578
206	313.91999387747603	0.020004272
207	317.843993902272	0.010002136
208	321.767993927068	-0.052497864
209	325.691993951864	0.01499939
210	329.61599397666004	0.042503357
211	333.539994001456	0.035003662
212	337.463994026252	-0.022499084
213	341.387994051048	-0.012496948
214	345.311994075844	0.007499695
215	349.23599410064	-0.0625
216	353.159994125436	-0.034996033
217	357.083994150232	-0.01499939
218	361.007994175028	-0.0625
219	364.931994199824	0.025001526
220	368.85599422462	-0.02999878
221	372.779994249416	0.0
222	376.703994274212	-0.06499481
223	380.627994299008	0.0
224	384.55199432380397	0.020004272
225	388.4759943486	0.020004272
226	392.399994373396	0.025001526
227	396.323994398192	0.03250122
228	400.247994422988	0.035003662
229	404.17199444778396	-0.010002136
230	408.09599447257995	0.022499084
231	412.0199944973761	0.027503967
232	415.9439945221721	-0.007499695
233	419.8679945469681	0.01499939
234	423.79199457176406	-0.012496948
235	427.71599459656005	-0.017501831
236	431.6399946213561	0.010002136
237	435.5639946461521	-0.02999878
238	439.48799467094807	0.022499084
239	443.41199469574406	-0.002494812
240	447.33599472054004	-0.007499695
241	451.2599947453361	0.03250122
242	455.1839947701321	-0.017501831
243	459.10799479492806	0.055000305
244	463.03199481972405	0.012504578
245	466.95599484452003	-0.017501831
246	470.8799948693161	-0.034996033
247	474.80399489411207	0.010002136
248	478.72799491890805	0.0025024414
249	482.65199494370404	-0.012496948
250	486.5759949685	0.007499695
251	490.49999499329607	-0.017501831
252	494.42399501809206	-0.04499817
