,time,Average Velocity,Rms,Volume disspersion,Mach Number
50,3.09e+12,1.54e+06,3.16e+12,8.83e+05,1.54e+00
51,3.15e+12,1.53e+06,3.12e+12,8.75e+05,1.53e+00
52,3.21e+12,1.52e+06,3.04e+12,8.62e+05,1.52e+00
53,3.27e+12,1.50e+06,2.99e+12,8.53e+05,1.50e+00
54,3.33e+12,1.50e+06,2.99e+12,8.54e+05,1.50e+00
55,3.39e+12,1.50e+06,2.98e+12,8.52e+05,1.50e+00
56,3.46e+12,1.51e+06,3.01e+12,8.48e+05,1.51e+00
57,3.52e+12,1.53e+06,3.04e+12,8.46e+05,1.53e+00
58,3.58e+12,1.54e+06,3.07e+12,8.47e+05,1.54e+00
59,3.64e+12,1.52e+06,3.02e+12,8.39e+05,1.52e+00
60,3.70e+12,1.51e+06,2.96e+12,8.32e+05,1.51e+00
61,3.76e+12,1.50e+06,2.92e+12,8.14e+05,1.50e+00
62,3.83e+12,1.48e+06,2.85e+12,8.10e+05,1.48e+00
63,3.89e+12,1.47e+06,2.82e+12,8.11e+05,1.47e+00
64,3.95e+12,1.47e+06,2.81e+12,8.11e+05,1.47e+00
65,4.01e+12,1.45e+06,2.78e+12,8.16e+05,1.45e+00
66,4.07e+12,1.45e+06,2.78e+12,8.19e+05,1.45e+00
67,4.14e+12,1.45e+06,2.80e+12,8.29e+05,1.45e+00
68,4.20e+12,1.46e+06,2.82e+12,8.37e+05,1.46e+00
69,4.26e+12,1.46e+06,2.86e+12,8.51e+05,1.46e+00
70,4.32e+12,1.47e+06,2.89e+12,8.47e+05,1.47e+00
71,4.38e+12,1.47e+06,2.87e+12,8.38e+05,1.47e+00
72,4.44e+12,1.48e+06,2.87e+12,8.30e+05,1.48e+00
73,4.50e+12,1.47e+06,2.83e+12,8.14e+05,1.47e+00
74,4.57e+12,1.47e+06,2.80e+12,8.04e+05,1.47e+00
75,4.63e+12,1.47e+06,2.81e+12,8.10e+05,1.47e+00
76,4.69e+12,1.46e+06,2.80e+12,8.13e+05,1.46e+00
77,4.75e+12,1.45e+06,2.78e+12,8.13e+05,1.45e+00
78,4.81e+12,1.45e+06,2.78e+12,8.20e+05,1.45e+00
79,4.88e+12,1.46e+06,2.80e+12,8.16e+05,1.46e+00
80,4.94e+12,1.47e+06,2.83e+12,8.19e+05,1.47e+00
81,5.00e+12,1.48e+06,2.87e+12,8.25e+05,1.48e+00
82,5.06e+12,1.49e+06,2.94e+12,8.43e+05,1.49e+00
83,5.12e+12,1.51e+06,3.02e+12,8.56e+05,1.51e+00
84,5.18e+12,1.53e+06,3.08e+12,8.61e+05,1.53e+00
85,5.25e+12,1.54e+06,3.10e+12,8.63e+05,1.54e+00
86,5.31e+12,1.53e+06,3.07e+12,8.61e+05,1.53e+00
87,5.37e+12,1.52e+06,3.03e+12,8.50e+05,1.52e+00
88,5.43e+12,1.52e+06,3.03e+12,8.43e+05,1.52e+00
89,5.49e+12,1.53e+06,3.03e+12,8.30e+05,1.53e+00
90,5.55e+12,1.53e+06,3.03e+12,8.22e+05,1.53e+00
91,5.62e+12,1.54e+06,3.04e+12,8.20e+05,1.54e+00
92,5.68e+12,1.54e+06,3.06e+12,8.30e+05,1.54e+00
93,5.74e+12,1.54e+06,3.08e+12,8.38e+05,1.54e+00
94,5.80e+12,1.54e+06,3.10e+12,8.48e+05,1.54e+00
95,5.86e+12,1.54e+06,3.11e+12,8.53e+05,1.54e+00
96,5.92e+12,1.55e+06,3.12e+12,8.54e+05,1.55e+00
97,5.99e+12,1.54e+06,3.09e+12,8.42e+05,1.54e+00
98,6.05e+12,1.53e+06,3.02e+12,8.22e+05,1.53e+00
99,6.11e+12,1.51e+06,2.94e+12,8.06e+05,1.51e+00
100,6.17e+12,1.50e+06,2.89e+12,7.98e+05,1.50e+00
