# Column 1: Channel -> ID
# Column 2: Spectral axis -> Gas velocity in km/s
# Column 3: Intensity axis -> Brightness temperature in K
#
#  Channel     Spectral axis    Intensity
 1.19000E+02   -3.96883E+02   -1.12495E-01
 1.20000E+02   -3.96061E+02   -1.49994E-02
 1.21000E+02   -3.95238E+02   -7.49969E-03
 1.22000E+02   -3.94416E+02   -5.74951E-02
 1.23000E+02   -3.93594E+02    5.00031E-02
 1.24000E+02   -3.92771E+02    8.00018E-02
 1.25000E+02   -3.91949E+02    1.25046E-02
 1.26000E+02   -3.91127E+02    2.24991E-02
 1.27000E+02   -3.90304E+02    3.74985E-02
 1.28000E+02   -3.89482E+02    6.75049E-02
 1.29000E+02   -3.88659E+02    4.00009E-02
 1.30000E+02   -3.87837E+02   -4.99954E-02
 1.31000E+02   -3.87015E+02   -6.25000E-02
 1.32000E+02   -3.86192E+02    6.50024E-02
 1.33000E+02   -3.85370E+02   -4.99954E-02
 1.34000E+02   -3.84548E+02   -1.99966E-02
 1.35000E+02   -3.83725E+02    2.50244E-03
 1.36000E+02   -3.82903E+02    2.50015E-02
 1.37000E+02   -3.82080E+02    1.49994E-02
 1.38000E+02   -3.81258E+02    3.50037E-02
 1.39000E+02   -3.80436E+02    6.50024E-02
 1.40000E+02   -3.79613E+02   -5.24979E-02
 1.41000E+02   -3.78791E+02   -1.07498E-01
 1.42000E+02   -3.77968E+02   -7.49969E-02
 1.43000E+02   -3.77146E+02    4.00009E-02
 1.44000E+02   -3.76324E+02   -2.50015E-02
 1.45000E+02   -3.75501E+02    1.75018E-02
 1.46000E+02   -3.74679E+02    7.49969E-03
 1.47000E+02   -3.73856E+02   -6.74973E-02
 1.48000E+02   -3.73034E+02   -5.74951E-02
 1.49000E+02   -3.72211E+02   -4.99725E-03
 1.50000E+02   -3.71389E+02    2.99988E-02
 1.51000E+02   -3.70566E+02    2.50244E-03
 1.52000E+02   -3.69744E+02   -1.75018E-02
 1.53000E+02   -3.68921E+02   -1.00021E-02
 1.54000E+02   -3.68099E+02   -3.25012E-02
 1.55000E+02   -3.67277E+02    5.00488E-03
 1.56000E+02   -3.66454E+02   -1.00021E-02
 1.57000E+02   -3.65632E+02   -6.74973E-02
 1.58000E+02   -3.64809E+02    7.49969E-03
 1.59000E+02   -3.63987E+02    2.50244E-03
 1.60000E+02   -3.63164E+02    8.25043E-02
 1.61000E+02   -3.62342E+02    1.05003E-01
 1.62000E+02   -3.61519E+02    4.00009E-02
 1.63000E+02   -3.60697E+02    8.25043E-02
 1.64000E+02   -3.59874E+02    1.75018E-02
 1.65000E+02   -3.59051E+02   -8.75015E-02
 1.66000E+02   -3.58229E+02   -7.49969E-02
 1.67000E+02   -3.57406E+02    2.75040E-02
 1.68000E+02   -3.56584E+02    1.25046E-02
 1.69000E+02   -3.55761E+02   -1.75018E-02
 1.70000E+02   -3.54939E+02   -2.99988E-02
 1.71000E+02   -3.54116E+02    3.74985E-02
 1.72000E+02   -3.53294E+02   -3.74985E-02
 1.73000E+02   -3.52471E+02   -5.50003E-02
 1.74000E+02   -3.51649E+02    9.75037E-02
 1.75000E+02   -3.50826E+02    1.75018E-02
 1.76000E+02   -3.50003E+02   -3.25012E-02
 1.77000E+02   -3.49181E+02   -4.99725E-03
 1.78000E+02   -3.48358E+02    7.49969E-03
 1.79000E+02   -3.47536E+02    3.25012E-02
 1.80000E+02   -3.46713E+02   -2.24991E-02
 1.81000E+02   -3.45890E+02   -4.99725E-03
 1.82000E+02   -3.45068E+02    2.24991E-02
 1.83000E+02   -3.44245E+02    6.99997E-02
 1.84000E+02   -3.43423E+02    5.24979E-02
 1.85000E+02   -3.42600E+02    1.75018E-02
 1.86000E+02   -3.41777E+02    7.49969E-03
 1.87000E+02   -3.40955E+02    6.50024E-02
 1.88000E+02   -3.40132E+02   -4.00009E-02
 1.89000E+02   -3.39310E+02   -7.49969E-03
 1.90000E+02   -3.38487E+02    1.00021E-02
 1.91000E+02   -3.37664E+02    3.25012E-02
 1.92000E+02   -3.36842E+02   -3.74985E-02
 1.93000E+02   -3.36019E+02    6.50024E-02
 1.94000E+02   -3.35196E+02    7.25021E-02
 1.95000E+02   -3.34374E+02   -1.75018E-02
 1.96000E+02   -3.33551E+02   -3.25012E-02
 1.97000E+02   -3.32728E+02   -2.74963E-02
 1.98000E+02   -3.31906E+02   -4.24957E-02
 1.99000E+02   -3.31083E+02   -1.00021E-02
 2.00000E+02   -3.30260E+02    1.75018E-02
 2.01000E+02   -3.29438E+02   -1.49994E-02
 2.02000E+02   -3.28615E+02    9.24988E-02
 2.03000E+02   -3.27792E+02    3.50037E-02
 2.04000E+02   -3.26970E+02    1.25046E-02
 2.05000E+02   -3.26147E+02   -2.74963E-02
 2.06000E+02   -3.25324E+02   -4.00009E-02
 2.07000E+02   -3.24501E+02   -3.25012E-02
 2.08000E+02   -3.23679E+02    6.75049E-02
 2.09000E+02   -3.22856E+02    1.75018E-02
 2.10000E+02   -3.22033E+02    4.00009E-02
 2.11000E+02   -3.21210E+02   -3.25012E-02
 2.12000E+02   -3.20388E+02    6.75049E-02
 2.13000E+02   -3.19565E+02    4.49982E-02
 2.14000E+02   -3.18742E+02    5.00031E-02
 2.15000E+02   -3.17919E+02    9.75037E-02
 2.16000E+02   -3.17097E+02    2.75040E-02
 2.17000E+02   -3.16274E+02    2.99988E-02
 2.18000E+02   -3.15451E+02   -7.49969E-02
 2.19000E+02   -3.14628E+02   -2.74963E-02
 2.20000E+02   -3.13806E+02    8.25043E-02
 2.21000E+02   -3.12983E+02    4.00009E-02
 2.22000E+02   -3.12160E+02   -3.49960E-02
 2.23000E+02   -3.11337E+02   -3.49960E-02
 2.24000E+02   -3.10515E+02   -1.49994E-02
 2.25000E+02   -3.09692E+02   -1.24969E-02
 2.26000E+02   -3.08869E+02    2.75040E-02
 2.27000E+02   -3.08046E+02    5.24979E-02
 2.28000E+02   -3.07223E+02    0.00000E+00
 2.29000E+02   -3.06401E+02    3.25012E-02
 2.30000E+02   -3.05578E+02   -4.00009E-02
 2.31000E+02   -3.04755E+02    3.25012E-02
 2.32000E+02   -3.03932E+02   -8.00018E-02
 2.33000E+02   -3.03109E+02   -1.04996E-01
 2.34000E+02   -3.02286E+02   -4.99954E-02
 2.35000E+02   -3.01464E+02   -2.74963E-02
 2.36000E+02   -3.00641E+02    4.25034E-02
 2.37000E+02   -2.99818E+02   -4.24957E-02
 2.38000E+02   -2.98995E+02   -7.49969E-02
 2.39000E+02   -2.98172E+02   -4.00009E-02
 2.40000E+02   -2.97349E+02    1.00021E-02
 2.41000E+02   -2.96526E+02   -1.00021E-02
 2.42000E+02   -2.95704E+02   -4.75006E-02
 2.43000E+02   -2.94881E+02   -7.49969E-03
 2.44000E+02   -2.94058E+02   -1.24969E-02
 2.45000E+02   -2.93235E+02   -1.24969E-02
 2.46000E+02   -2.92412E+02   -2.24991E-02
 2.47000E+02   -2.91589E+02   -7.49969E-03
 2.48000E+02   -2.90766E+02   -7.49969E-03
 2.49000E+02   -2.89943E+02   -1.24969E-02
 2.50000E+02   -2.89120E+02    7.25021E-02
 2.51000E+02   -2.88297E+02    1.20003E-01
 2.52000E+02   -2.87475E+02   -1.49994E-02
 2.53000E+02   -2.86652E+02    5.00488E-03
 2.54000E+02   -2.85829E+02    1.75018E-02
