time,displacement
0,1
1.0033445,0.55231005
2.006689,-0.33875632
3.0100336,-0.8466
4.013378,-0.56082785
5.0167227,0.1912768
6.020067,0.70322937
7.0234118,0.54736024
8.026756,-0.0753882
9.030101,-0.57233185
10.033445,-0.51809776
11.03679,-0.013035902
12.040134,0.45528364
13.043479,0.4781766
14.0468235,0.07801684
15.050168,-0.3526082
16.053513,-0.4317753
17.056858,-0.12335689
18.060202,0.26419055
19.063545,0.38221368
20.06689,0.15256408
21.070236,-0.1894416
22.07358,-0.33206004
23.076923,-0.16880138
24.080269,0.12744297
25.083614,0.2832368
26.086958,0.17486678
27.090302,-0.07706662
28.093647,-0.23711915
29.096992,-0.17319131
30.100336,0.037067946
31.10368,0.19462961
32.107025,0.16584614
33.11037,-0.0061592036
34.113716,-0.1563229
35.117058,-0.1545638
36.120403,-0.01693303
37.12375,0.12246229
38.12709,0.14076489
39.130436,0.03342613
40.13378,-0.09308568
41.137127,-0.12559049
42.140472,-0.04445339
43.143814,0.06806324
44.14716,0.10993282
45.150505,0.051047713
46.153847,-0.047145363
47.157192,-0.09446965
48.160538,-0.054128446
49.163883,0.03000283
50.16723,0.07969543
51.17057,0.054500237
52.173916,-0.016258137
53.17726,-0.06595187
54.180603,-0.05285411
55.18395,0.005512895
56.187294,0.053455688
57.19064,0.04977246
58.193985,0.0026335195
59.197327,-0.042323075
60.200672,-0.045737322
61.204018,-0.0085698245
62.20736,0.0325921
63.210705,0.041138653
64.21405,0.012661023
65.21739,-0.024241494
66.22074,-0.036285035
67.22408,-0.015242486
68.22743,0.017207038
69.230774,0.03141384
70.234116,0.016615618
71.237465,-0.011394259
72.24081,-0.026701387
73.24415,-0.017046096
74.2475,0.006690681
75.25084,0.022272512
76.25418,0.016763752
77.25753,-0.0029738208
78.26087,-0.018209644
79.26422,-0.015963754
80.26756,0.000118226206
81.270905,0.014560886
82.274254,0.014809009
83.277596,0.0019992962
84.280945,-0.011347284
85.28429,-0.013432353
86.28763,-0.003495941
87.29098,0.008568897
88.29432,0.011939994
89.29766,0.004480329
90.30101,-0.006210609
91.30435,-0.010414618
92.30769,-0.0050509064
93.31104,0.004246357
94.314384,0.008918571
95.31773,0.0052950713
96.321075,-0.002642968
97.32442,-0.007496996
98.32777,-0.0052891406
99.33111,0.0013631686
100.33446,0.0061806426
101.3378,0.0050983005
102.34114,-0.00036796505
103.34449,-0.0049885465
104.34783,-0.004777337
105.35117,-0.00038153076
106.35452,0.003930451
107.357864,0.004371378
108.361206,0.0009227652
109.364555,-0.0030088187
110.3679,-0.0039168424
111.37125,-0.0012907599
112.37459,0.0022206723
113.37793,0.0034423685
114.38128,0.0015176265
115.38462,-0.001559101
116.38797,-0.0029698713
117.39131,-0.0016320229
118.39465,0.0010145252
119.398,0.0025154897
120.401344,0.0016591514
121.404686,-0.00057573436
122.408035,-0.0020905398
123.41138,-0.0016207364
124.41472,0.00023069911
125.41807,0.0017023459
126.42141,0.0015351749
127.42476,0.00003277146
128.4281,-0.0013550413
129.43144,-0.0014177317
130.43478,-0.0002266266
131.43814,0.0010502465
132.44148,0.0012808314
133.44482,0.00036208468
134.44817,-0.0007876415
135.4515,-0.0011343687
136.45486,-0.00044956934
137.4582,0.0005655383
138.46155,0.0009859821
139.46489,0.0004984797
140.46823,-0.00038121763
141.47157,-0.00084140734
142.47493,-0.0005170931
143.47827,0.00023137778
144.48161,0.0007047492
145.48495,0.0005126471
146.4883,-0.000112319525
147.49165,-0.0005787692
148.495,-0.0004912782
149.49834,0.00002025661
150.50166,0.00046512476
151.505,0.00045815288
152.50835,0.000048605252
153.5117,-0.0003646277
154.51505,-0.00041747908
155.51839,-0.00009784191
156.52173,0.00027739545
157.52507,0.00037266148
158.52843,0.00013083106
159.53177,-0.00020306163
160.53511,-0.00032635476
161.53845,-0.00015063774
162.5418,0.00014088694
163.54514,0.00028058008
164.5485,0.0001599815
165.55183,-0.00008991089
166.55518,-0.00023681167
167.55852,-0.00016125974
168.56186,0.00004901167
169.56522,0.00019607232
170.56856,0.00015651804
171.5719,-0.000017018629
172.57524,-0.0001590092
173.57858,-0.00014749283
174.58194,-0.000007257954
175.58528,0.0001259749
176.58862,0.0001356123
177.59196,0.000024970823
178.5953,-0.000097085926
179.59866,-0.00012203893
180.602,-0.00003719659
181.60535,0.000072284085
182.60869,0.00010769214
183.61203,0.000044934826
184.61537,-0.00005137992
185.61873,-0.00009327759
186.62207,-0.00004907596
187.62541,0.000034099605
188.62875,0.00007932119
189.6321,0.000050411305
190.63545,-0.000020109339
191.6388,-0.00006619705
192.64214,-0.000049621547
193.64548,0.000009045456
194.64882,0.00005414963
195.65216,0.000047287795
196.65552,-0.0000005399856
197.65886,-0.00004332556
198.6622,-0.00004389308
199.66554,-0.0000057739217
